property_number,venue_name,venue_address,space_type,website,lat,lon,location,geolocation
105379,Colonial Hotel/Brown Alley Night Club,"240 King Street, Melbourne, 3000",Hotel,https://www.thecolonialhotel.com.au/,-37.81460565414994,144.95509368927424,POINT (144.955093689274 -37.81460565415),"-37.81460565414994, 144.95509368927424"
101160,The Royal Melbourne Hotel,"621-633 Bourke Street, Melbourne, 3000",,,-37.816698511726194,144.95514280793918,POINT (144.955142807939 -37.816698511726),"-37.816698511726194, 144.95514280793918"
665911,Riverland Bar,"Vault, 1-9 Princes Walk, Melbourne, 3000",Bar,http://www.riverlandbar.com/,-37.818689511539546,144.96869720953168,POINT (144.968697209532 -37.81868951154),"-37.818689511539546, 144.96869720953168"
681564,Speakeasy HQ,"Level 1, 520-522 Flinders Street, Melbourne, 3000",Theatre,http://speakeasy-hq.com/,-37.820357932687585,144.95696625309793,POINT (144.956966253098 -37.820357932688),"-37.820357932687585, 144.95696625309793"
681548,170 Russell/Billboard Nightclub,"Basement,Part Ground & Part Level 8, 180 Russell Street, Melbourne, 3000",Nightclub,http://billboardsaturdays.com.au/,-37.812052247519325,144.96793672846434,POINT (144.967936728464 -37.812052247519),"-37.812052247519325, 144.96793672846434"
660010,Vamos,"Level 1, 37-41 Little Bourke Street, Melbourne, 3000",Bar,http://www.vamos.net.au/,-37.810747836953425,144.97146559576274,POINT (144.971465595763 -37.810747836953),"-37.810747836953425, 144.97146559576274"
635138,Union Electric,"13 Heffernan Lane, Melbourne, 3000",Bar,http://unionelectric.com.au/,-37.811773258347344,144.9666888906996,POINT (144.9666888907 -37.811773258347),"-37.811773258347344, 144.9666888906996"
661406,Arbory Bar and Eatery,"2 Flinders Walk, Melbourne, 3000",Bar,http://arbory.com.au/,-37.81890972470938,144.96679263372738,POINT (144.966792633727 -37.818909724709),"-37.81890972470938, 144.96679263372738"
542429,AIM (Australian Institute of Music),"Gnd & Levels 1 -3, 120 King Street, Melbourne, 3000",Recording,http://www.aim.edu.au/,-37.81726158549317,144.95622460343756,POINT (144.956224603438 -37.817261585493),"-37.81726158549317, 144.95622460343756"
109436,Section 8 Bar,"27-29 Tattersalls Lane, Melbourne, 3000",Bar,https://section8.com.au/,-37.8117627149045,144.9654889438025,POINT (144.965488943803 -37.811762714904),"-37.8117627149045, 144.9654889438025"
102148,Athenaeum Theatre,"184-192 Collins Street, Melbourne, 3000",Theatre,http://www.athenaeumtheatre.com.au/,-37.81509631361538,144.96731018907587,POINT (144.967310189076 -37.815096313615),"-37.81509631361538, 144.96731018907587"
520402,The Bodega,"Shop 2, 47-55 Little Bourke Street, Melbourne, 3000",Bar,https://www.facebook.com/thebodegabar/,-37.8108890793276,144.97103359901016,POINT (144.97103359901 -37.810889079328),"-37.8108890793276, 144.97103359901016"
558769,Fiftyfive,"Basement, 55 Elizabeth Street, Melbourne, 3000",Bar,http://www.fifty-five.com.au/,-37.81697659904653,144.96422322338523,POINT (144.964223223385 -37.816976599047),"-37.81697659904653, 144.96422322338523"
103602,Her Majesty's Theatre,"199-219 Exhibition Street, Melbourne, 3000",Theatre,http://www.hmt.com.au/,-37.81089990679512,144.96984175787586,POINT (144.969841757876 -37.810899906795),"-37.81089990679512, 144.96984175787586"
652991,Sheraton Hotel Melbourne,"27 Little Collins Street, Melbourne, 3000",Accommodation,http://www.sheratonmelbourne.com/,-37.812646032283375,144.9726492304484,POINT (144.972649230448 -37.812646032283),"-37.812646032283375, 144.9726492304484"
632394,Troika Bar,"Ground, 106 Little Lonsdale Street, Melbourne, 3000",Bar,http://troikabar.com/,-37.809251212232525,144.96862686025293,POINT (144.968626860253 -37.809251212233),"-37.809251212232525, 144.96862686025293"
101236,Angel Music Bar,"12 Bourke Street, Melbourne, 3000",Bar,,-37.8113496150961,144.97256750232202,POINT (144.972567502322 -37.811349615096),"-37.8113496150961, 144.97256750232202"
104653,Campari House,"21-25 Hardware Lane, Melbourne, 3000",Bar,https://www.camparihouse.com.au/,-37.81406901492111,144.96139208309128,POINT (144.961392083091 -37.814069014921),"-37.81406901492111, 144.96139208309128"
604763,Blue Diamond,"Level 15, 123 Queen Street, Melbourne, 3000",,,-37.8156945346344,144.960819979804,POINT (144.960819979804 -37.815694534634),"-37.8156945346344, 144.960819979804"
682124,Whitehart Bar,"Rear, 359 Lonsdale Street, Melbourne, 3000",,,-37.81255176993681,144.9618356969375,POINT (144.961835696938 -37.812551769937),"-37.81255176993681, 144.9618356969375"
100730,Melbourne Savage Club,"The Melbourne Savage Club, 12-16 Bank Place, Melbourne, 3000",Nightclub,http://melbournesavageclub.com/,-37.81658693170178,144.96043647413035,POINT (144.96043647413 -37.816586931702),"-37.81658693170178, 144.96043647413035"
587676,Father's Office,"249 Little Lonsdale Street, Melbourne, 3000",Bar,http://fathersoffice.com.au/,-37.81051763850372,144.9646508376141,POINT (144.964650837614 -37.810517638504),"-37.81051763850372, 144.9646508376141"
110106,The Metropolitan Hotel,"The Metropolitan Hotel, 263-265 William Street, Melbourne, 3000",Hotel,http://metropolitan.melbourne/,-37.812911404982586,144.95676240471337,POINT (144.956762404713 -37.812911404983),"-37.812911404982586, 144.95676240471337"
504866,Sticky Institute,"Shop 10, Campbell Arcade, Melbourne, 3000",Bar,http://www.stickyinstitute.com/,-37.81780039372033,144.96608291162394,POINT (144.966082911624 -37.81780039372),"-37.81780039372033, 144.96608291162394"
594103,Curtin House,"Unit S15, Level 7, 252 Swanston Street, Melbourne, 3000",Bar,http://curtinhouse.com/,-37.81197919475205,144.96513374198747,POINT (144.965133741987 -37.811979194752),"-37.81197919475205, 144.96513374198747"
555142,The Sub Club,"Unit 20, Basement, 35 Elizabeth Street, Melbourne, 3000",,,-37.817391733040644,144.96433989015495,POINT (144.964339890155 -37.817391733041),"-37.817391733040644, 144.96433989015495"
105313,Victoria University,"225 King Street, Melbourne, 3000",Multi-use,https://www.vu.edu.au/,-37.81498068947084,144.95490184835984,POINT (144.95490184836 -37.814980689471),"-37.81498068947084, 144.95490184835984"
513261,fortyfive downstairs,"Basement & LwrGround, 45 Flinders Lane, Melbourne, 3000",Bar,http://www.fortyfivedownstairs.com/wp2016/,-37.81476781579968,144.97298148815318,POINT (144.972981488153 -37.8147678158),"-37.81476781579968, 144.97298148815318"
103922,Garden State Hotel,"95-101 Flinders Lane, Melbourne, 3000",Hotel,http://gardenstatehotel.com.au/,-37.81533364912343,144.97103885657114,POINT (144.971038856571 -37.815333649123),"-37.81533364912343, 144.97103885657114"
108987,The Princess Theatre,"163-181 Spring Street, Melbourne, 3000",Theatre,https://marrinergroup.com.au/venues/princess-theatre,-37.810683700820334,144.97255452673397,POINT (144.972554526734 -37.81068370082),"-37.810683700820334, 144.97255452673397"
108536,The Crafty Squire,"115-127 Russell Street, Melbourne, 3000",Hotel,http://www.thecraftysquire.com.au/,-37.81364054478455,144.96829657234807,POINT (144.968296572348 -37.813640544785),"-37.81364054478455, 144.96829657234807"
619040,Fad Gallery,"Gnd & Flr1, 14 Corrs Lane, Melbourne, 3000",Bar,http://fadgallery.com.au/,-37.811235398938436,144.9683349834688,POINT (144.968334983469 -37.811235398938),"-37.811235398938436, 144.9683349834688"
607972,Penny Blue,"2 Driver Lane, Melbourne, 3000",Bar,https://pennyblue.com.au/,-37.81282106809502,144.96298868379125,POINT (144.962988683791 -37.812821068095),"-37.81282106809502, 144.96298868379125"
102154,St Michael's Uniting Church,"St Michaels Uniting Church, 122-136 Collins Street, Melbourne, 3000",Church,http://stmichaels.org.au/,-37.81452691849391,144.96935205119595,POINT (144.969352051196 -37.814526918494),"-37.81452691849391, 144.96935205119595"
106505,The Kelvin Club,"Kelvin Club, 14-30 Melbourne Place, Melbourne, 3000",,,-37.8132350970678,144.96883724816743,POINT (144.968837248167 -37.813235097068),"-37.8132350970678, 144.96883724816743"
510143,Baroq House,"Gnd & Bmt, 2 Drewery Place, Melbourne, 3000",,,-37.81119498448426,144.9640484516178,POINT (144.964048451618 -37.811194984484),"-37.81119498448426, 144.9640484516178"
105675,Seamstress Restaurant and Bar,"113 Lonsdale Street, Melbourne, 3000",Bar,http://www.seamstress.com.au/prod/,-37.81046224853603,144.96895746044424,POINT (144.968957460444 -37.810462248536),"-37.81046224853603, 144.96895746044424"
103626,European Bier Café,"120 Exhibition Street, Melbourne, 3000",bar,http://europeanbiercafe.com.au/,-37.81285332078208,144.97110417388942,POINT (144.971104173889 -37.812853320782),"-37.81285332078208, 144.97110417388942"
631757,Touche Hombre,"237 Lonsdale Street, Melbourne, 3000",Bar,https://www.touchehombre.com.au/,-37.81150165387338,144.9654399624449,POINT (144.965439962445 -37.811501653873),"-37.81150165387338, 144.9654399624449"
529290,Eden Bar,"Level 1, 163-165 Russell Street, Melbourne, 3000",Nightclub,http://edenbar.com.au/,-37.81248788571263,144.9677712185572,POINT (144.967771218557 -37.812487885713),"-37.81248788571263, 144.9677712185572"
502980,Bond Lounge Bar,"Ground, 20-24 Bond Street, Melbourne, 3000",Nightclub,http://www.bondmelbourne.com.au/,-37.818180434552545,144.96282893879925,POINT (144.962828938799 -37.818180434553),"-37.818180434552545, 144.96282893879925"
520980,Marrakech Bar,"LwrGround, 25 Bank Place, Melbourne, 3000",Nightclub,http://www.marrakechcocktailbar.com.au/,-37.81630543173182,144.9602164244812,POINT (144.960216424481 -37.816305431732),"-37.81630543173182, 144.9602164244812"
105395,Inflation Nightclub/Top Yard Rooftop Bar,"54-60 King Street, Melbourne, 3000",Nightclub,http://www.inflation.com.au/aboutus.htm,-37.81895269154036,144.95708651070385,POINT (144.957086510704 -37.81895269154),"-37.81895269154036, 144.95708651070385"
613319,Asian Beer Café,"Shop 311, Level 3, 300 Lonsdale Street, Melbourne, 3000",Bar,http://asianbeercafe.com.au/,-37.81016156449148,144.96340822349765,POINT (144.963408223498 -37.810161564491),"-37.81016156449148, 144.96340822349765"
574518,Loop Project Space & Bar,"Ground, 19-23 Meyers Place, Melbourne, 3000",Bar,http://www.looponline.com.au/,-37.81212244439291,144.97221043633814,POINT (144.972210436338 -37.812122444393),"-37.81212244439291, 144.97221043633814"
527245,Live Performance Australia,"Level 1, 15 Queen Street, Melbourne, 3000",Multi-use,http://www.liveperformance.com.au/,-37.818408350668456,144.96207799460493,POINT (144.962077994605 -37.818408350668),"-37.818408350668456, 144.96207799460493"
108118,Queen Victoria Market,"65-159 Victoria Street, Melbourne, 3000",Performance space,http://qvm.com.au/,-37.806188527484565,144.9575348670326,POINT (144.957534867033 -37.806188527485),"-37.806188527484565, 144.9575348670326"
547502,Platform One,"Vault 7-8, 375-377 Flinders Street, Melbourne, 3000",Nightclub,http://www.platformone.com.au/,-37.81914827560788,144.96232307486835,POINT (144.962323074868 -37.819148275608),"-37.81914827560788, 144.96232307486835"
594101,Mesa Verde,"Unit S13, Level 6, 252 Swanston Street, Melbourne, 3000",Bar,http://www.mesaverde.net.au/,-37.81204087370973,144.96505253454222,POINT (144.965052534542 -37.81204087371),"-37.81204087370973, 144.96505253454222"
605758,Bass Lounge,"Suite 12, Basement, 108 Bourke Street, Melbourne, 3000",,,-37.8121190907495,144.9699347659403,POINT (144.96993476594 -37.812119090749),"-37.8121190907495, 144.9699347659403"
619895,The Black Rabbit,"Basement, 85 Queen Street, Melbourne, 3000",Nightclub,https://www.blackrabbit.melbourne/,-37.816506994449085,144.96120225838388,POINT (144.961202258384 -37.816506994449),"-37.816506994449085, 144.96120225838388"
109417,Regent Theatre,"191-197 Collins Street, Melbourne, 3000",Theatre,https://marrinergroup.com.au/venues/regent-theatre,-37.81534585273267,144.9675380003948,POINT (144.967538000395 -37.815345852733),"-37.81534585273267, 144.9675380003948"
508230,The Athenaeum,"Level 1, 188 Collins Street, Melbourne, 3000",,,-37.81509905764948,144.96746914835032,POINT (144.96746914835 -37.815099057649),"-37.81509905764948, 144.96746914835032"
103619,The Comedy Theatre,"240 Exhibition Street, Melbourne, 3000",Theatre,https://marrinergroup.com.au/venues/comedy-theatre,-37.81021736084806,144.96989592744947,POINT (144.969895927449 -37.810217360848),"-37.81021736084806, 144.96989592744947"
527419,Turf Bar,"Unit 1, LwrGround, 131 Queen Street, Melbourne, 3000",Bar,http://turfbar.com.au/,-37.815538920511045,144.96075342315893,POINT (144.960753423159 -37.815538920511),"-37.815538920511045, 144.96075342315893"
580042,Lustre Bar,"4A Centre Place, Melbourne, 3000",Bar,http://www.lustrebar.com.au/,-37.81675634145909,144.96562102792308,POINT (144.965621027923 -37.816756341459),"-37.81675634145909, 144.96562102792308"
503026,Spleen Central,"41 Bourke Street, Melbourne, 3000",Bar,https://whatson.melbourne.vic.gov.au/DiningandNightlife/BarsandPubs/AllBars/Pages/1804.aspx,-37.81180924479099,144.9719804643413,POINT (144.971980464341 -37.811809244791),"-37.81180924479099, 144.9719804643413"
564954,Flinders Station Hotel Backpackers,"Unit 8-17, Level 3-12, 35 Elizabeth Street, Melbourne, 3000",Hotel,https://oconnells.com.au/,-37.81739448122377,144.964498854058,POINT (144.964498854058 -37.817394481224),"-37.81739448122377, 144.964498854058"
573333,Federation Square,"2 Swanston Street, Melbourne, 3000",Performance space,http://fedsquare.com/venue-hire,-37.81839877968878,144.96896594005398,POINT (144.968965940054 -37.818398779689),"-37.81839877968878, 144.96896594005398"
104824,Highlander Bar,"11A Highlander Lane, Melbourne, 3000",Bar,http://highlanderbar.squarespace.com/,-37.81969180587922,144.9580106038663,POINT (144.958010603866 -37.819691805879),"-37.81969180587922, 144.9580106038663"
602028,Golden Monkey,"Basement & Rear, 389 Lonsdale Street, Melbourne, 3000",Bar,http://goldenmonkey.com.au/,-37.81278386278497,144.96103223580576,POINT (144.961032235806 -37.812783862785),"-37.81278386278497, 144.96103223580576"
111467,Sea Life Melbourne Aquarium,"Sea Life Melbourne Aquarium, King Street, Melbourne, 3000",Amusement/Theme Venue,https://www.melbourneaquarium.com.au/,-37.8209995658432,144.95804714265464,POINT (144.958047142655 -37.820999565843),"-37.8209995658432, 144.95804714265464"
532712,Cookie,"Unit S2, Level 1, 252 Swanston Street, Melbourne, 3000",Bar,http://www.cookie.net.au/,-37.812105299613584,144.9651302795867,POINT (144.965130279587 -37.812105299614),"-37.812105299613584, 144.9651302795867"
631874,Tramp Bar,"Basement, 20 King Street, Melbourne, 3000",Nightclub,https://trampbar.com/,-37.819775804387085,144.95746975329038,POINT (144.95746975329 -37.819775804387),"-37.819775804387085, 144.95746975329038"
538247,Gin Palace,"10 Russell Place, Melbourne, 3000",Bar,http://www.ginpalace.com.au/,-37.81385598389118,144.96744878525442,POINT (144.967448785254 -37.813855983891),"-37.81385598389118, 144.96744878525442"
108983,The Hotel Windsor,"103-137 Spring Street, Melbourne, 3000",Hotel,http://www.thehotelwindsor.com.au/,-37.81195937492122,144.97313628316482,POINT (144.973136283165 -37.811959374921),"-37.81195937492122, 144.97313628316482"
567241,Clique Bar,"Level 1, 26 King Street, Melbourne, 3000",Nightclub,http://www.cliquebar.com.au/,-37.81961099011078,144.95739295718033,POINT (144.95739295718 -37.819610990111),"-37.81961099011078, 144.95739295718033"
513494,Randy Dragon,"Unit 1, Basement, 313-315 Flinders Lane, Melbourne, 3000",Bar,http://www.randydragon.com.au/,-37.817456737067324,144.96378913395765,POINT (144.963789133958 -37.817456737067),"-37.817456737067324, 144.96378913395765"
105749,QV Melbourne,"278-300 Swanston Street, Melbourne, 3000",Bar,http://www.qv.com.au,-37.81103540168751,144.96467176356475,POINT (144.964671763565 -37.811035401688),"-37.81103540168751, 144.96467176356475"
601617,Lion Hotel at Melbourne Central,"Shop 303, Level 3, 300 Lonsdale Street, Melbourne, 3000",Bar,http://www.acemelbourne.com.au/mclion/,-37.81049466323917,144.96260892303593,POINT (144.962608923036 -37.810494663239),"-37.81049466323917, 144.96260892303593"
105449,Duke Of Kent Hotel,"293-299 La Trobe Street, Melbourne, 3000",Venue,,-37.81071423194513,144.96049941842946,POINT (144.960499418429 -37.810714231945),"-37.81071423194513, 144.96049941842946"
559367,Robot Bar,"12 Bligh Place, Melbourne, 3000",Bar,http://www.robotsushi.com/,-37.81710896940462,144.9637044827892,POINT (144.963704482789 -37.817108969405),"-37.81710896940462, 144.9637044827892"
630016,Max Watt's,"Gnd & Bmt, 125 Swanston Street, Melbourne, 3000",Venue,http://www.maxwatts.com.au/melbourne/,-37.81474151304183,144.96600928994255,POINT (144.966009289943 -37.814741513042),"-37.81474151304183, 144.96600928994255"
512532,Coopers Inn,"Shop 1, 242 Exhibition Street, Melbourne, 3000",Hotel,http://www.coopersinn.com.au/,-37.809916568560254,144.96975861429243,POINT (144.969758614292 -37.80991656856),"-37.809916568560254, 144.96975861429243"
104000,Immigration Museum,"400-424 Flinders Street, Melbourne, 3000",Museum,https://museumsvictoria.com.au/immigrationmuseum/,-37.81931971370013,144.96049295002675,POINT (144.960492950027 -37.8193197137),"-37.81931971370013, 144.96049295002675"
644830,Bird's Basement,"11 Singers Lane, Melbourne, 3000",Venue,https://birdsbasement.com/,-37.8112098332617,144.95679721844013,POINT (144.95679721844 -37.811209833262),"-37.8112098332617, 144.95679721844013"
105705,Club Retro,"383 Lonsdale Street, Melbourne, 3000",Nightclub,http://www.clubretro.com.au/,-37.812729378942684,144.96122123033936,POINT (144.961221230339 -37.812729378943),"-37.812729378942684, 144.96122123033936"
560832,Disco Bar,"Level 1-4, 167-175 Franklin Street, Melbourne, 3000",Bar,https://www.tripadvisor.com.au/LocationPhotoDirectLink-g255100-d286290-i126403786-Discovery_Melbourne-Melbourne_Victoria.html,-37.80871596791028,144.95902457942904,POINT (144.959024579429 -37.80871596791),"-37.80871596791028, 144.95902457942904"
587502,Ms Collins,"Gnd & Mezzanine, 425 Collins Street, Melbourne, 3000",Nightclub,http://www.mscollins.com.au/,-37.8173778889626,144.96055381695814,POINT (144.960553816958 -37.817377888963),"-37.8173778889626, 144.96055381695814"
545389,Off The Hip Records,"Basement, 387 Flinders Lane, Melbourne, 3000",Multi-use,https://whatson.melbourne.vic.gov.au/Shopping/BooksMusicandStationery/Music/Pages/1418.aspx,-37.818170221925946,144.9612683910999,POINT (144.9612683911 -37.818170221926),"-37.818170221925946, 144.9612683910999"
561179,El Coco,"Ground, 120 King Street, Melbourne, 3000",Nightclub,http://elcoco.com.au/,-37.81726434461992,144.95638356625756,POINT (144.956383566258 -37.81726434462),"-37.81726434461992, 144.95638356625756"
542129,Cherry Bar,"Basement, 103 Flinders Lane, Melbourne, 3000",Venue,http://cherrybar.com.au/,-37.815376525088666,144.97089701596647,POINT (144.970897015966 -37.815376525089),"-37.815376525088666, 144.97089701596647"
508066,Basement Discs,"Basement, 24 Block Place, Melbourne, 3000",Performance space,http://www.basementdiscs.com.au/,-37.815398812509436,144.96439685314675,POINT (144.964396853147 -37.815398812509),"-37.815398812509436, 144.96439685314675"
502966,Café Segovia,"33 Block Place, Melbourne, 3000",,https://www.tripadvisor.com.au/Restaurant_Review-g255100-d722884-Reviews-Cafe_Segovia-Melbourne_Victoria.html,-37.81530880548056,144.96431671833355,POINT (144.964316718334 -37.815308805481),"-37.81530880548056, 144.96431671833355"
682450,La Di Da,"188-200 King Street, Melbourne, 3000",Nightclub,https://www.ladidapeople.com/,-37.815558987309416,144.95553316188418,POINT (144.955533161884 -37.815558987309),"-37.815558987309416, 144.95553316188418"
109257,Young & Jackson,"Young And Jacksons Hotel, 1 Swanston Street, Melbourne, 3000",Hotel,https://www.youngandjacksons.com.au/,-37.81736432768269,144.96721031538397,POINT (144.967210315384 -37.817364327683),"-37.81736432768269, 144.96721031538397"
615781,Charlie's Bar,"Basement, 67 Hardware Lane, Melbourne, 3000",,,-37.81325334536212,144.9610159338816,POINT (144.961015933882 -37.813253345362),"-37.81325334536212, 144.9610159338816"
565950,The Last Chance Rock & Roll Bar,"238 Victoria Street, Melbourne, 3000",Venue,https://www.facebook.com/thelastchancerockandrollbar/,-37.80601960940114,144.95855233201263,POINT (144.958552332013 -37.806019609401),"-37.80601960940114, 144.95855233201263"
110148,The Australian Club,"110 William Street, Melbourne, 3000",Venue,https://theaustralianclub.com.au/,-37.816671478507224,144.95884607575877,POINT (144.958846075759 -37.816671478507),"-37.816671478507224, 144.95884607575877"
565097,Chaise Lounge,"Basement, 105 Queen Street, Melbourne, 3000",Nightclub,http://www.chaiselounge.com.au/,-37.81607553369085,144.96100472386703,POINT (144.961004723867 -37.816075533691),"-37.81607553369085, 144.96100472386703"
516520,Max Bar and Restaurant,"Ground, 54 Hardware Lane, Melbourne, 3000",Bar,http://maxonhardware.com.au/,-37.813473669206125,144.96119469998956,POINT (144.96119469999 -37.813473669206),"-37.813473669206125, 144.96119469998956"
573544,City Library,"Pt Gnd ,Pt Mezz & Lvl 1, 253-265 Flinders Lane, Melbourne, 3000",Library,http://www.melbourne.vic.gov.au/community/libraries/locations/Pages/locations.aspx,-37.816868507007,144.96581223646334,POINT (144.965812236463 -37.816868507007),"-37.816868507007, 144.96581223646334"
664075,Euro House,"Ground, 16-20 Corrs Lane, Melbourne, 3000",Nightclub,http://www.eurohouse.com.au/,-37.81115429522088,144.96821759637908,POINT (144.968217596379 -37.811154295221),"-37.81115429522088, 144.96821759637908"
102103,InterContinental Melbourne The Rialto,"487-503 Collins Street, Melbourne, 3000",Accommodation,https://www.melbourne.intercontinental.com/,-37.81812958399533,144.95792591365702,POINT (144.957925913657 -37.818129583995),"-37.81812958399533, 144.95792591365702"
105967,Boney,"68 Little Collins Street, Melbourne, 3000",Venue,http://www.boney.net.au/,-37.81290578487124,144.97136869242834,POINT (144.971368692428 -37.812905784871),"-37.81290578487124, 144.97136869242834"
105968,Magic Mountain Saloon,"62 Little Collins Street, Melbourne, 3000",Bar,http://www.magicmountainsaloon.com.au/,-37.812865395242035,144.97150999418588,POINT (144.971509994186 -37.812865395242),"-37.812865395242035, 144.97150999418588"
101216,The Croft Institute,"21-25 Croft Alley, Melbourne, 3000",Nightclub,http://www.thecroftinstitute.com.au/,-37.8120527407846,144.96912389323862,POINT (144.969123893239 -37.812052740785),"-37.8120527407846, 144.96912389323862"
108547,Exford Hotel,"199-203 Russell Street, Melbourne, 3000",Hotel,http://www.exfordhotel.com.au/,-37.81176295391396,144.96743873754548,POINT (144.967438737545 -37.811762953914),"-37.81176295391396, 144.96743873754548"
681520,401 The Order,"Level 2 & Roof, 401 Swanston Street, Melbourne, 3000",Bar,http://www.theorder.com.au/,-37.809036429996624,144.96337709793107,POINT (144.963377097931 -37.809036429997),"-37.809036429996624, 144.96337709793107"
508074,The Charles Dickens Tavern,"Basement, 290 Collins Street, Melbourne, 3000",Hotel,https://whatson.melbourne.vic.gov.au/DiningandNightlife/BarsandPubs/AllPubs/Pages/4952.aspx,-37.81593815528815,144.96453019096924,POINT (144.964530190969 -37.815938155288),"-37.81593815528815, 144.96453019096924"
101130,The Carlton,"193-199 Bourke Street, Melbourne, 3000",Hotel,http://www.thecarlton.com.au/,-37.81309470257678,144.9676166993641,POINT (144.967616699364 -37.813094702577),"-37.81309470257678, 144.9676166993641"
542683,Khokolat Bar,"Basement, 43-49 Hardware Lane, Melbourne, 3000",Nightclub,http://khokolatbar.com.au/,-37.81359471929996,144.96117047987784,POINT (144.961170479878 -37.8135947193),"-37.81359471929996, 144.96117047987784"
560714,West Space Inc,"Level 1, 225 Bourke Street, Melbourne, 3000",Multi-use,https://westspace.org.au/,-37.81328852220956,144.96695028225128,POINT (144.966950282251 -37.81328852221),"-37.81328852220956, 144.96695028225128"
614233,Transit Rooftop Bar,"Tenancy 29, Level 2, 2 Swanston Street, Melbourne, 3000",Hotel,https://transitrooftopbar.com.au/,-37.81828956913258,144.96896893362114,POINT (144.968968933621 -37.818289569133),"-37.81828956913258, 144.96896893362114"
606667,Building 8,"Building 8, RMIT University, 360 Swanston Street, Melbourne, 3000",Multi-use,https://www.rmit.edu.au/,-37.80877875813838,144.96362521955905,POINT (144.963625219559 -37.808778758138),"-37.80877875813838, 144.96362521955905"
681513,Bomba Tapas Bar and Rooftop,"Ground & Rooftop, 103 Lonsdale Street, Melbourne, 3000",Bar,https://bombabar.com.au/,-37.81038063462455,144.9692357633733,POINT (144.969235763373 -37.810380634625),"-37.81038063462455, 144.9692357633733"
